,bank,bank_name,bank_code,atm,atm_detail,address,ward,district,ward_level,district_level,unnamed,formatted_address,latitude,longitude,accuracy,google_place_id,type,postcode,number_of_results,status
10,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,151007 - ATM Tru so chinh Chi nhanh,ATM,"ATM Tru so chinh Chi nhanh, 469 Nguyen Van Linh, Long Bien, Ha Noi,Viet Nam",Phuong Phuc Dong,Quan Long Bien,Phuong,Quan ,10,"Số 469 Nguyễn Văn Linh, Phúc Đồng, Long Biên, Hà Nội 100000, Vietnam",21.0331158,105.9085539,ROOFTOP,ChIJE6824xCpNTERNKpk0Jee3S4,"bank,establishment,finance,point_of_interest",100000,1,OK
11,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,151007 - ATM Tru so chinh Chi nhanh,ATM,"ATM Tru so chinh Chi nhanh, 469 Nguyen Van Linh, Long Bien, Ha Noi,Viet Nam",Phuong Phuc Dong,Quan Long Bien,Phuong,Quan ,11,"Số 469 Nguyễn Văn Linh, Phúc Đồng, Long Biên, Hà Nội 100000, Vietnam",21.0331158,105.9085539,ROOFTOP,ChIJE6824xCpNTERNKpk0Jee3S4,"bank,establishment,finance,point_of_interest",100000,1,OK
12,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,151004 - ATM Tru so chinh Chi nhanh,ATM,"ATM Tru so chinh Chi nhanh, 469 Nguyen Van Linh, Long Bien, Ha Noi,Viet Nam",Phuong Phuc Dong,Quan Long Bien,Phuong,Quan ,10,"Số 469 Nguyễn Văn Linh, Phúc Đồng, Long Biên, Hà Nội 100000, Vietnam",21.0331158,105.9085539,ROOFTOP,ChIJE6824xCpNTERNKpk0Jee3S4,"bank,establishment,finance,point_of_interest",100000,1,OK
13,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,151004 - ATM Tru so chinh Chi nhanh,ATM,"ATM Tru so chinh Chi nhanh, 469 Nguyen Van Linh, Long Bien, Ha Noi,Viet Nam",Phuong Phuc Dong,Quan Long Bien,Phuong,Quan ,11,"Số 469 Nguyễn Văn Linh, Phúc Đồng, Long Biên, Hà Nội 100000, Vietnam",21.0331158,105.9085539,ROOFTOP,ChIJE6824xCpNTERNKpk0Jee3S4,"bank,establishment,finance,point_of_interest",100000,1,OK
14,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC - Tru so chinh CN Chuong Duong,ATM,"VCBC - Tru so chinh CN Chuong Duong, 562 Nguyen Van Cu, Phuong Gia Thuy, Quan Long Bien, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Gia Thuy,Quan Long Bien,Phuong,Quan ,12,"562 Đ. Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội, Vietnam",21.050083,105.8845106,ROOFTOP,ChIJ94Nhj3ipNTERWd5XRd6Xb38,street_address,0,1,OK
15,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"ATM Agribank 562 Nguyen Van Cu, Phuong Gia Thuy, Quan Long Bien, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Gia Thuy,Quan Long Bien,Phuong,Quan ,13,"562 Đ. Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Gia Thụy Long Biên Hà Nội, Vietnam",21.0496557,105.8839003,ROOFTOP,ChIJVQosj3ipNTERfW5ijLlLlFc,"atm,establishment,finance,point_of_interest",0,1,OK
16,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,VPBank Chuong Duong ATM,ATM,"VPBank Chuong Duong ATM, 562 Nguyen Van Cu, Phuong Gia Thuy, Quan Long Bien, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Gia Thuy,Quan Long Bien,Phuong,Quan ,14,"Một phần diện tích tại tầng 1 và tầng 5, Tòa nhà Plaschem, số 562 Đường Đ. Nguyễn Văn Cừ, Nội thành, Long Biên, Hà Nội, Vietnam",21.0494055,105.8839413,ROOFTOP,ChIJ8XJHYrGpNTER_cLb1eY2uFQ,"bank,establishment,finance,point_of_interest",0,1,OK
17,DongA Bank,Ngan hang TMCP Dong A,12,Tong cong ty Khoang San-VINACOMIN,ATM,"Tong cong ty Khoang San-VINACOMIN, 562 Nguyen Van Cu, Phuong Gia Thuy, Quan Long Bien, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Gia Thuy,Quan Long Bien,Phuong,Quan ,15,"562 Đ. Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội, Vietnam",21.0501289,105.884578,ROOFTOP,ChIJZz3DhnipNTERixQtCYbIOTk,"establishment,point_of_interest",0,1,OK
18,SH Bank,Ngan hang TMCP Sai Gon – Ha Noi,33,ATM 11010002,ATM,"ATM SHBank So 81 Tran Hung Dao, Quan Hoan Kiem, TP.Ha Noi,Viet Nam",Phuong Tran Hung Dao,Quan Hoan Kiem,Phuong,Quan ,16,"Một phần diện tích tại Tòa nhà Capital, Capital Tower, Trần Hưng Đạo, Nội thành, Hoàn Kiếm, Hà Nội, Vietnam",21.0235209,105.8420354,ROOFTOP,ChIJzRGlk5CrNTERZvx7C-rjR3w,"bank,establishment,finance,point_of_interest",0,1,OK
19,SH Bank,Ngan hang TMCP Sai Gon – Ha Noi,33,ATM 11010004,ATM,"ATM So 81 Tran Hung Dao, Quan Hoan Kiem, TP.Ha Noi,Viet Nam",Phuong Tran Hung Dao,Quan Hoan Kiem,Phuong,Quan ,17,"109 Trần Hưng Đạo, Cửa Nam, Hoàn Kiếm, Hà Nội, Vietnam",21.0235125,105.8420438,ROOFTOP,ChIJJ_4AlJCrNTERIzPGJ_X6I-I,"bank,establishment,finance,point_of_interest",0,1,OK
20,Vietinbank,Ngan hang TMCP Cong thuong Viet Nam,45,CN Ba Dinh,ATM,"CN VietinbankBa Dinh, 119B Thai Ha, Trung Liet, Dong Da, Ha Noi,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,18,"119b Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam",21.0127386,105.8201234,ROOFTOP,ChIJQ50SB32rNTERzMDtX8tGOj4,street_address,0,1,OK
21,Techcombank,Ngan hang TMCP Ky Thuong,36,ATM Thai Ha,ATM,"ATM Thai Ha, 119B Thai Ha, Trung Liet, Dong Da, Ha Noi,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,19,"119B Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam",21.01274,105.820123,ROOFTOP,ChIJC_kuyqCrNTERCFcfmOl7N7c,"atm,establishment,finance,point_of_interest",0,1,OK
22,VPBank,Ngan hang TMCP Viet Nam Thinh Vuong,46,ATM Doi CSTT phan ung nhanh quan Dong Da ATM,ATM,"ATM VPbank, 119B Thai Ha, Trung Liet, Dong Da, Ha Noi,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,20,"119B Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam",21.0127386,105.8201234,ROOFTOP,ChIJQ50SB32rNTERpghFDIC-xgs,"atm,establishment,finance,point_of_interest",0,1,OK
23,Vietinbank,Ngan hang TMCP Cong thuong Viet Nam,45,CN Hoang Mai,ATM,"CN Vetinbank Hoang Mai, 126 Tam Trinh, Phuong Yen So, Quan Hoang Mai, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Yen So,Quan Hoang Mai,Phuong,Quan ,21,"Số, 25 Phố Tân Mai, Tân Mai, Hoàng Mai, Hà Nội, Vietnam",20.9832855,105.850112,ROOFTOP,ChIJ1-o0x0KsNTERkqOz8uft8KY,"bank,establishment,finance,point_of_interest",0,1,OK
24,DongA Bank,Ngan hang TMCP Dong A,12,Metro Hoang Mai,ATM,"DongABank Metro Hoang Mai, 126 Tam Trinh, Phuong Yen So, Quan Hoang Mai, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Yen So,Quan Hoang Mai,Phuong,Quan ,22,"126 Đường Tam Trinh, Yên Sở, Hoàng Mai, Hà Nội, Vietnam",20.9702023,105.8667936,ROOFTOP,ChIJ089Yni-sNTERY9TaRBgLQ90,"establishment,point_of_interest,store",0,1,OK
25,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC Metro Hoang Mai,ATM,"VCBC Metro Hoang Mai, 126 Tam Trinh, Phuong Yen So, Quan Hoang Mai, Thanh pho Ha Noi, Viet Nam,Viet Nam",Phuong Yen So,Quan Hoang Mai,Phuong,Quan ,23,"126 Đường Tam Trinh, Yên Sở, Hoàng Mai, Hà Nội, Vietnam",20.9702023,105.8667936,ROOFTOP,ChIJ089Yni-sNTERY9TaRBgLQ90,"establishment,point_of_interest,store",0,1,OK
26,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990131 - ATM 505 Minh Khai,ATM,"ATM BIDV Minh Khai, 505 Minh Khai, Hai Ba trung, Ha Noi,Viet Nam",Phuong Minh Khai,Quan Hai Ba Trung,Phuong,Quan ,24,"Tầng 1, TTTM V+, Hoa Binh Green City, 505 Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội, Vietnam",20.9996769,105.8704266,ROOFTOP,ChIJsVDTBgSsNTEROPKnfnegfxk,"atm,establishment,finance,point_of_interest",0,1,OK
27,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990129 - ATM 505 Minh Khai,ATM,"ATM BIDV 505 Minh Khai, 505 Minh Khai, Hai Ba trung, Ha Noi,Viet Nam",Phuong Minh Khai,Quan Hai Ba Trung,Phuong,Quan ,25,"Tầng 1, TTTM V+, Hoa Binh Green City, 505 Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội, Vietnam",20.9996769,105.8704266,ROOFTOP,ChIJsVDTBgSsNTEROPKnfnegfxk,"atm,establishment,finance,point_of_interest",0,2,OK
28,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990056 - ATM 505 Minh Khai,ATM,"ATM 505 Minh Khai, 505 Minh Khai, Hai Ba trung, Ha Noi,Viet Nam",Phuong Minh Khai,Quan Hai Ba Trung,Phuong,Quan ,26,"Tầng 1, TTTM V+, Hoa Binh Green City, 505 Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội, Vietnam",20.9996769,105.8704266,ROOFTOP,ChIJsVDTBgSsNTEROPKnfnegfxk,"atm,establishment,finance,point_of_interest",0,1,OK
29,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC Cong B- KCN Bac Thang Long,ATM,"VCBC Cong B- KCN Bac Thang Long, KCN Bac Thang Long Dong Anh Ha Noi,Viet Nam",Xa Kim Chung,Huyen Dong Anh,Xa,Huyen ,27,"Võ Văn Kiệt, Kim Chung, Đông Anh, Hà Nội, Vietnam",21.1259024,105.7809892,GEOMETRIC_CENTER,ChIJjW17WSj-NDERzyktghVGjGk,"establishment,health,point_of_interest",0,1,OK
30,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC Cong ty Panasonic Viet Nam,ATM,"VCBC Cong ty Panasonic Viet Nam, KCN Bac Thang Long Dong Anh Ha Noi,Viet Nam",Xa Kim Chung,Huyen Dong Anh,Xa,Huyen ,28,"Plot B-6, Thang Long Industrial Park, Kim Chung, Đông Anh, Hà Nội, Vietnam",21.1216495,105.7766161,GEOMETRIC_CENTER,ChIJO6P3bOP_NDER7XPEhM9028o,"establishment,point_of_interest",0,1,OK
31,Vietcombank,Ngan hang TMCP Ngoai Thuong Viet Nam,44,VCBC Canon VN,ATM,"VCBC Canon VN, KCN Bac Thang Long Dong Anh Ha Noi,Viet Nam",Xa Kim Chung,Huyen Dong Anh,Xa,Huyen ,29,"Lô A1, Khu công nghiệp Thăng Long, Kim Chung, Đông Anh, Hà Nội, Vietnam",21.1206684,105.7804576,ROOFTOP,ChIJ5SLh9eL_NDERNM4lBGS8s64,"establishment,point_of_interest",0,1,OK
32,Agribank,Ngan hang Nong nghiep va Phat trien Nong thon Viet Nam,3,0,ATM,"ATM Agribank KCN Thang Long, Dong Anh, Ha Noi,Viet Nam",Xa Kim Chung,Huyen Dong Anh,Xa,Huyen ,30,"Khu công nghiệp Thăng Long, Kim Chung, Đông Anh, Hà Nội, Vietnam",21.116219,105.773263,ROOFTOP,ChIJ-UI8TgP_NDERrtuo1oANmPo,"atm,establishment,finance,point_of_interest",0,1,OK
33,Techcombank,Ngan hang TMCP Ky Thuong,36,Cong ty TNHH Molex,ATM,"Cong ty TNHH Molex, KCN Thang Long, Dong Anh, Ha Noi,Viet Nam",Xa Hai Boi,Huyen Dong Anh,Xa,Huyen ,31,"Võng La, Đông Anh, Hanoi, Vietnam",21.1125032,105.7641199,GEOMETRIC_CENTER,ChIJOU69H_T_NDERYZObkgZ6aIs,"establishment,point_of_interest",0,1,OK
34,Techcombank,Ngan hang TMCP Ky Thuong,36,KCN Thang Long,ATM,"KCN Thang Long, KCN Thang Long, Dong Anh, Ha Noi,Viet Nam",Xa Hai Boi,Huyen Dong Anh,Xa,Huyen ,32,"Khu công nghiệp Thăng Long, Kim Chung, Đông Anh, Hà Nội, Vietnam",21.1234032,105.7814462,GEOMETRIC_CENTER,ChIJ17E_m_z_NDERVypNOr4pl64,premise,0,1,OK
35,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,213001 - ATM Hoi so chinh CN,ATM,"BIDV ATM Hoi so chinh CN, So 1281 Duong Giai Phong,Phuong Hoang Liet,Quan Hoang Mai, Thanh pho Ha Noi,Viet Nam",Phuong Hoang Liet,Quan Hoang Mai,Phuong,Quan ,33,"1281 Giải Phóng, Hoàng Liệt, Hoàng Mai, Hà Nội, Vietnam",20.9704262,105.8416199,ROOFTOP,ChIJ7wZcMk6sNTERYXtgcgNQHEY,"atm,establishment,finance,point_of_interest",0,1,OK
36,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,213006 - ATM Hoi so chinh CN,ATM,"BIDV Hoi so chinh CN, So 1281 Duong Giai Phong,Phuong Hoang Liet,Quan Hoang Mai, Thanh pho Ha Noi,Viet Nam",Phuong Hoang Liet,Quan Hoang Mai,Phuong,Quan ,34,"1281 Giải Phóng, Hoàng Liệt, Hoàng Mai, Hà Nội, Vietnam",20.97043,105.8416,ROOFTOP,ChIJX8pSFE6sNTERHK5oLa5OZO8,"bank,establishment,finance,point_of_interest",0,1,OK
37,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,213008 - ATM Hoi so chinh CN,ATM,"So 1281 Duong Giai Phong,Phuong Hoang Liet,Quan Hoang Mai, Thanh pho Ha Noi,Viet Nam",Phuong Hoang Liet,Quan Hoang Mai,Phuong,Quan ,326,"1281 Giải Phóng, Hoàng Liệt, Hoàng Mai, Hà Nội, Vietnam",20.970485,105.8417355,ROOFTOP,ChIJrYweM06sNTER-evc-J7UZ70,premise,0,1,OK
38,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,213008 - ATM Hoi so chinh CN,ATM,"So 1281 Duong Giai Phong,Phuong Hoang Liet,Quan Hoang Mai, Thanh pho Ha Noi,Viet Nam",Phuong Hoang Liet,Quan Hoang Mai,Phuong,Quan ,327,"1281 Giải Phóng, Hoàng Liệt, Hoàng Mai, Hà Nội, Vietnam",20.970485,105.8417355,ROOFTOP,ChIJrYweM06sNTER-evc-J7UZ70,premise,0,1,OK
39,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,213008 - ATM Hoi so chinh CN,ATM,"So 1281 Duong Giai Phong,Phuong Hoang Liet,Quan Hoang Mai, Thanh pho Ha Noi,Viet Nam",Phuong Hoang Liet,Quan Hoang Mai,Phuong,Quan ,328,"1281 Giải Phóng, Hoàng Liệt, Hoàng Mai, Hà Nội, Vietnam",20.970485,105.8417355,ROOFTOP,ChIJrYweM06sNTER-evc-J7UZ70,premise,0,1,OK
40,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,213008 - ATM Hoi so chinh CN,ATM,"So 1281 Duong Giai Phong,Phuong Hoang Liet,Quan Hoang Mai, Thanh pho Ha Noi,Viet Nam",Phuong Hoang Liet,Quan Hoang Mai,Phuong,Quan ,35,"1281 Giải Phóng, Hoàng Liệt, Hoàng Mai, Hà Nội, Vietnam",20.970485,105.8417355,ROOFTOP,ChIJrYweM06sNTER-evc-J7UZ70,premise,0,1,OK
41,VIB,Ngan hang TMCP Quoc Te,41,ATM095,ATM,"ATM Tang 1, Toa nha Corner Stone – 16 Phan Chu Trinh – Phuong Phan Chu Trinh – Quan Hoan Kiem – TP.Ha Noi,Viet Nam",Phuong Phan Chu Trinh,Quan Hoan Kiem,Phuong,Quan ,36,"16 Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Vietnam",21.0211073,105.8555671,ROOFTOP,ChIJOTr-q-2rNTERuhdNaYk5SaI,"establishment,point_of_interest",0,2,OK
42,VIB,Ngan hang TMCP Quoc Te,41,ATM227,ATM,"Tang 1, Toa nha Corner Stone – 16 Phan Chu Trinh – Phuong Phan Chu Trinh – Quan Hoan Kiem – TP.Ha Noi,Viet Nam",Phuong Phan Chu Trinh,Quan Hoan Kiem,Phuong,Quan ,430,"16 Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Vietnam",21.0211073,105.8555671,ROOFTOP,ChIJOTr-q-2rNTERuhdNaYk5SaI,"establishment,point_of_interest",0,1,OK
43,VIB,Ngan hang TMCP Quoc Te,41,ATM227,ATM,"Tang 1, Toa nha Corner Stone – 16 Phan Chu Trinh – Phuong Phan Chu Trinh – Quan Hoan Kiem – TP.Ha Noi,Viet Nam",Phuong Phan Chu Trinh,Quan Hoan Kiem,Phuong,Quan ,431,"Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Vietnam",21.021116,105.8557042,GEOMETRIC_CENTER,ChIJJWJxqu2rNTERYkGjgXHZuZQ,"establishment,point_of_interest",0,1,OK
44,VIB,Ngan hang TMCP Quoc Te,41,ATM227,ATM,"Tang 1, Toa nha Corner Stone – 16 Phan Chu Trinh – Phuong Phan Chu Trinh – Quan Hoan Kiem – TP.Ha Noi,Viet Nam",Phuong Phan Chu Trinh,Quan Hoan Kiem,Phuong,Quan ,432,"16 Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Vietnam",21.0211073,105.8555671,ROOFTOP,ChIJOTr-q-2rNTERuhdNaYk5SaI,"establishment,point_of_interest",0,1,OK
45,VIB,Ngan hang TMCP Quoc Te,41,ATM227,ATM,"Tang 1, Toa nha Corner Stone – 16 Phan Chu Trinh – Phuong Phan Chu Trinh – Quan Hoan Kiem – TP.Ha Noi,Viet Nam",Phuong Phan Chu Trinh,Quan Hoan Kiem,Phuong,Quan ,37,"Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Vietnam",21.021116,105.8557042,GEOMETRIC_CENTER,ChIJJWJxqu2rNTERYkGjgXHZuZQ,"establishment,point_of_interest",0,1,OK
46,VIB,Ngan hang TMCP Quoc Te,41,ATM228,ATM,"Toa nha Corner Stone – 16 Phan Chu Trinh – Phuong Phan Chu Trinh – Quan Hoan Kiem – TP.Ha Noi,Viet Nam",Phuong Phan Chu Trinh,Quan Hoan Kiem,Phuong,Quan ,38,"Tòa nhà Corner Stone Building, 16 Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Vietnam",21.0213487,105.8549523,ROOFTOP,ChIJ8RYRAe2rNTERz9g_ehC_0qU,premise,0,1,OK
47,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990012 - ATM Tru so chinh Chi nhanh,ATM,"ATM BIDV Tru so chinh Chi nhanh, Toa nha Viet, So 1 Thai Ha,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,39,"Tầng 1 tòa nhà Vinaconex Tower, số 34 đường Láng Hạ, Láng Hạ, Đống Đa, Láng Hạ, Hà Nội, 100000, Vietnam",21.0146422,105.8132961,GEOMETRIC_CENTER,ChIJs3sPumOrNTERxAirq8KQ5S8,"bank,establishment,finance,point_of_interest",100000,1,OK
48,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990111 - ATM Tru so chinh Chi nhanh,ATM,"So 1 Thai Ha, Dong Da, Ha Noi,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,40,"1 Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam",21.0091514,105.8235716,ROOFTOP,ChIJtdrO8YGsNTERyAZHRIJv3lo,premise,0,1,OK
49,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990013 - ATM Tru so chinh Chi nhanh,ATM,"Tru so chinh BIDV, Toa nha Viet, So 1 Thai Ha,Viet Nam",Phuong Trung Liet,Quan Dong Da,Phuong,Quan ,41,"Tầng 1 tòa nhà Vinaconex Tower, số 34 đường Láng Hạ, Láng Hạ, Đống Đa, Láng Hạ, Hà Nội, 100000, Vietnam",21.0146422,105.8132961,GEOMETRIC_CENTER,ChIJs3sPumOrNTERxAirq8KQ5S8,"bank,establishment,finance,point_of_interest",100000,1,OK
50,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990141 - ATM Thap A Vincom 191 Ba Trieu,ATM,"ATM BIDV Thap A Vincom 191 Ba Trieu, Vincom, 191 Ba Trieu,Phuong Le Dai Hanh,Quan Hai Ba Trung, Thanh pho Ha Noi,Viet Nam",Phuong Le Dai Hanh,Quan Hai Ba Trung,Phuong,Quan ,42,"191 Bà Triệu, Lê Đại Hành, Hai Bà Trưng, Hà Nội, Vietnam",21.011404,105.8500214,ROOFTOP,ChIJrY2_Mw-sNTERn0V6wwnp0DE,"establishment,point_of_interest,shopping_mall",0,2,OK
51,BIDV,Ngan hang TMCP Dau tu va Phat trien Viet Nam,8,990139 - ATM Thap A Vincom 191 Ba Trieu,ATM,"Vincom 191 Ba Trieu, Vincom, 191 Ba Trieu, Hai Ba Trung, Thanh pho Ha Noi,Viet Nam",Phuong Le Dai Hanh,Quan Hai Ba Trung,Phuong,Quan ,43,"L02 - 44, Vincom Centre, 191 Bà Triệu, street, Hai Bà Trưng, Hà Nội 100000, Vietnam",21.0110915,105.8494361,ROOFTOP,ChIJxUt_UpmrNTERXknAowM3KHE,"clothing_store,establishment,point_of_interest,store",100000,1,OK
